cell_line	expression_AR	status_AR	expression_ESR1	status_ESR1	expression_ERBB2	status_ERBB2	expression_PGR	status_PGR	subtype_three_receptor	subtype_neve	subtype_claudin_low	subtype_curtis	subtype_intrinsic	subtype_lehmann_tnbc	subtype_marcotte	subtype_rppa	subtype_screen_unsupervised
mcf12a	-3.322	low	2.244	high	5.588	low	-3.322	low	ER	basalb	other	Intclust9	Normal	NA	cluster4	rppa1	cluster4
mcf7	0.755	low	6.319	high	5.049	low	4.404	high	ER	luminal	other	Intclust1	LuminalA	NA	cluster7	rppa8	cluster6
mdamb134vi	3.253	high	6.794	high	4.171	low	-2.893	low	ER	luminal	other	Intclust2	LuminalB	NA	cluster7	rppa8	cluster3
mdamb157	-3.322	low	-3.322	low	4.254	low	-1.789	low	TNBC	basalb	CL	Intclust1	CL	MSL	cluster2	rppa6	cluster5
mdamb175vii	3.836	high	3.114	high	6.982	low	-3.322	low	ER	luminal	other	Intclust8	LuminalA	NA	cluster6	rppa4	NA
mdamb231	-3.322	low	-3.322	low	4.328	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	IM	cluster2	rppa4	cluster4
mdamb330	2.748	high	5.749	high	10.309	high	1.974	high	ERBB2	her2	other	Intclust6	LuminalA	NA	cluster7	rppa9	cluster3
mdamb361	3.677	high	4.893	high	9.297	high	3.195	high	ERBB2	her2	other	Intclust1	HER2	NA	cluster7	rppa8	cluster6
mdamb415	3.012	high	2.716	high	5.468	low	1.425	high	ER	luminal	other	Intclust3	LuminalA	NA	cluster6	rppa4	cluster1
mdamb436	-0.383	low	-3.322	low	3.616	low	-3.322	low	TNBC	basalb	CL	Intclust10	CL	UNS	cluster2	rppa2	cluster4
mdamb453	5.648	high	-1.285	low	7.94	low	-3.322	low	TNBC	luminal	other	Intclust8	LuminalA	LAR	cluster6	rppa3	cluster2
mdamb468	-3.322	low	-0.419	low	3.849	low	-3.322	low	TNBC	basala	other	Intclust3	Basal	BL1	cluster3	rppa2	cluster4
mfm223	5.484	high	-0.771	low	4.357	low	-3.322	low	TNBC	luminal	other	Intclust8	LuminalB	LAR	cluster6	rppa3	cluster5
mx1	-0.461	low	-3.322	low	4.89	low	-3.322	low	TNBC	basalb	other	Intclust9	Basal	BL1	cluster3	rppa4	cluster4
ocubm	4.483	high	-3.322	low	9.47	high	-3.322	low	ERBB2	her2	other	Intclust1	LuminalB	NA	cluster6	rppa3	cluster2
skbr3	2.832	high	-0.974	low	10.098	high	-3.322	low	ERBB2	her2	other	Intclust5	HER2	NA	cluster5	rppa8	cluster6
skbr5	-3.322	low	0.489	low	5.816	low	-3.322	low	TNBC	luminal	other	Intclust6	LuminalB	LAR	cluster6	rppa7	cluster6
skbr7	-0.877	low	-3.322	low	5.283	low	-3.322	low	TNBC	basalb	CL	Intclust3	CL	BL2	cluster2	rppa5	cluster4
sum102	-3.322	low	-0.931	low	4.264	low	-3.322	low	TNBC	basala	other	Intclust3	Normal	BL2	cluster4	rppa2	cluster3
sum1315	1.445	high	-3.322	low	3.903	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	MSL	cluster2	rppa1	cluster1
sum149	-3.322	low	-0.083	low	3.566	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL2	cluster4	rppa4	cluster4
sum159	2.634	high	-3.322	low	4.038	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	MSL	cluster2	rppa2	cluster4
sum185	6.092	high	-3.322	low	5.919	low	-2.742	low	TNBC	luminal	other	Intclust7	HER2	LAR	cluster6	rppa3	cluster1
sum190	4.779	high	-2.193	low	11.32	high	-3.322	low	ERBB2	her2	other	Intclust2	LuminalA	NA	cluster6	rppa9	cluster3
sum225	0.634	low	-1.049	low	11.632	high	-3.322	low	ERBB2	basala	other	Intclust4	HER2	NA	cluster5	rppa9	cluster2
sum229	-3.322	low	0.176	low	3.254	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL2	cluster4	NA	cluster3
sum44	3.971	high	6.366	high	4.491	low	-2.608	low	ER	luminal	other	Intclust2	LuminalA	NA	cluster6	rppa7	cluster1
sum52	-3.322	low	-0.398	low	5.939	low	-3.322	low	TNBC	luminal	other	Intclust2	LuminalA	LAR	cluster6	NA	cluster6
sw527	-3.322	low	-3.322	low	3.743	low	-3.322	low	TNBC	basalb	other	Intclust4	Basal	M	cluster1	rppa4	cluster4
t47d	2.774	high	4.376	high	5.374	low	5.972	high	ER	luminal	other	Intclust7	LuminalB	NA	cluster7	rppa8	cluster6
uacc3199	-1.577	low	-3.322	low	4.474	low	-3.322	low	TNBC	basalb	other	Intclust10	Basal	BL1	cluster3	rppa4	NA
uacc812	1.518	high	4.992	high	11.189	high	4.352	high	ERBB2	her2	other	Intclust5	LuminalA	NA	cluster7	rppa9	NA
uacc893	3.274	high	0.194	low	11.141	high	-3.322	low	ERBB2	her2	other	Intclust5	HER2	NA	cluster6	rppa7	cluster2
zr751	3.418	high	2.604	high	6.744	low	-0.794	low	ER	luminal	other	Intclust8	LuminalA	NA	cluster6	rppa8	cluster6
zr7530	4.17	high	4.208	high	11.051	high	-3.322	low	ERBB2	her2	other	Intclust8	LuminalA	NA	cluster6	rppa9	NA
zr75b	-0.037	low	5.131	high	6.316	low	2.506	high	ER	luminal	other	Intclust8	LuminalA	NA	cluster7	rppa8	cluster6
